id,site,X,Y
24,Aeschliman,-117.4385993,46.78961548
4,Anatone,-117.0788657,46.21539137
3,Asotin,-117.2981427,46.2625868
6,Clark,-117.2012359,46.82097631
0,Erikson,-117.670638,47.09865241
22,Esser,-116.8094138,46.6475806
26,Farmington,-117.0447225,47.03741698
18,Greene,-117.259704,46.24285706
7,Hagen-Z,-117.1279444,46.81552003
14,Hells Gate,-117.0570725,46.35008366
31,Idler,-116.9528522,46.80186164
30,JW Trail,-117.3755775,47.23302231
16,Kambitsch,-116.9464964,46.58460138
19,Laird,-116.6443726,46.94395595
11,Magpie,-117.154129,46.75141195
2,Meyer,-117.1499181,46.57710501
8,PCEI,-116.9899282,46.74651248
13,Petty,-117.2386792,46.18434446
29,Philips,-117.0176716,46.81221746
1,Robinson,-116.9098434,46.75577975
17,Rose Creek,-117.2103942,46.82525678
12,Schlee,-117.1719251,46.53815044
21,Schultheis,-117.2261273,46.56740005
23,Schuster,-117.5966581,47.16880549
9,Skinner,-116.9852372,46.66291468
28,Smoot Hill,-117.234805,46.82764433
27,Spillman,-117.1510896,46.69999418
20,Steffan,-117.1343267,46.73150546
25,Steptoe,-117.2968215,47.03641488
10,Wawawai,-117.3746687,46.63716595
15,Wolf,-117.098066,46.49087096
5,WSU Arboretum,-117.1337032,46.7273426
